raul_matched,prog_H_error_mean,prog_H_error_median,prog_Q_error_mean,prog_Q_error_median,prog_H_diff_mean,prog_H_diff_median,prog_Q_diff_mean,prog_Q_diff_median
arges,"18,02","3,00","6,06","1,40","-0,90","0,00","-1,13","0,00"
vedea,"5,83","0,00","1,03","0,00","1,28","0,00","0,15","0,00"
