raul_matched,arges,arges,arges,arges,vedea,vedea,vedea,vedea
,prog_H_error_mean,prog_H_error_std,prog_Q_error_mean,prog_Q_error_std,prog_H_error_mean,prog_H_error_std,prog_Q_error_mean,prog_Q_error_std
date,,,,,,,,
2023-01-31,19.823529411764707,58.61125669839119,4.764705882352941,7.241110168378067,2.1176470588235294,3.425681555201396,1.2094117647058824,3.6526471061892827
2023-02-28,16.157894736842106,56.73551029694692,2.4368421052631573,4.724547071332846,4.2631578947368425,14.29779355651757,4.739473684210526,15.473054885360552
2023-03-31,24.071428571428573,70.37093706260264,4.317857142857143,6.5989928283948265,3.25,15.833918117855823,0.6046428571428571,2.9888725511443486
2023-04-30,24.40740740740741,63.262736181529405,8.45185185185185,13.744260910547645,9.296296296296296,25.124022850979184,1.3240740740740742,2.790390459663113
2023-05-31,27.7,65.62177414074775,8.108333333333333,14.229789559917611,6.7,24.956721159529003,0.2706666666666667,1.3108931762505405
2023-06-30,15.214285714285714,40.213649003013465,10.305357142857144,14.783463855654011,0.6071428571428571,0.6852566815265063,0.36500000000000005,1.4724695808968915
2023-07-31,13.307692307692308,11.888714752299277,10.857692307692307,9.66772664391885,0.3076923076923077,0.4706787243316417,0.03730769230769233,0.05710045129823006
2023-08-31,111.78571428571429,112.41502375633591,10.761928571428571,9.037626310488962,46.607142857142854,55.36902415591986,2.8864285714285716,3.990589127848367
2023-09-30,29.571428571428573,93.51388432124163,2.491428571428571,3.818467517197728,15.464285714285714,52.05800336437919,0.4117857142857143,1.1233120788342952
2023-10-31,1.9130434782608696,1.8565129453374498,0.7652173913043469,0.7426051781349802,17.695652173913043,57.52899251887828,0.08608695652173913,0.1837176472553562
2023-11-30,83.25,121.82466909456393,10.1304,25.73096098272929,1.45,2.235479461111784,1.971,4.079781856913431
2023-12-31,86.76190476190476,140.58837247863167,3.165714285714286,5.763627825795634,4.0476190476190474,9.515651267654729,3.644285714285714,8.119045862309543
