date,CA_cm,CI_cm,CP_cm,diag_H_cm,prog_H_cm,diag_Q_m3_s,prog_Q_m3_s
2026-02-21,380.0,500.0,550.0,258.0,295.0,56.5,75.2
2026-02-22,380.0,500.0,550.0,220.0,230.0,40.4,44.6
2026-02-23,380.0,500.0,550.0,212.0,1089.0,37.0,35.8
2026-02-24,380.0,500.0,550.0,216.0,207.0,38.7,34.9
2026-02-25,380.0,500.0,550.0,235.0,220.0,46.7,40.4
2026-02-26,380.0,500.0,550.0,300.0,260.0,78.0,57.4
2026-02-27,380.0,500.0,550.0,250.0,330.0,53.0,98.0
