raul_matched,statia_matched,Q_ratio_max_date,Q_diag_max,Q_med_apr_max,Q_ratio_max
arges,Malu Spart,2025-12-25,585.0,82.0,22.674418604651162
vedea,Alexandria,2026-02-26,78.0,20.6,10.746478873239436
