raul_matched,prog_H_error_mean,prog_H_error_median,prog_Q_error_mean,prog_Q_error_median,prog_H_diff_mean,prog_H_diff_median,prog_Q_diff_mean,prog_Q_diff_median
arges,18.01984126984127,3.0,6.0604523809523805,1.4000000000000021,-0.9007936507936508,0.0,-1.13075,0.0
vedea,5.825396825396825,0.0,1.028876984126984,0.0,1.2777777777777777,0.0,0.1473174603174603,0.0
